,month,interest,principal,loan balance,total_interest,monthly_payment
269,270.0,237.38,1079.03,108515.97999999992,135117.65000000002,1316.41
270,271.0,235.02,1081.39,107436.94999999992,135352.67,1316.41
271,272.0,232.65,1083.76,106355.55999999992,135585.32,1316.41
272,273.0,230.28,1086.13,105271.79999999993,135815.6,1316.41
273,274.0,227.91,1088.5,104185.66999999993,136043.51,1316.41
274,275.0,225.53,1090.88,103097.16999999993,136269.04,1316.41
275,276.0,223.14,1093.27,102006.28999999992,136492.18000000002,1316.41
276,277.0,220.75,1095.66,100913.01999999992,136712.93000000002,1316.41
277,278.0,218.35,1098.06,99817.35999999991,136931.28000000003,1316.41
278,279.0,215.95,1100.46,98719.29999999992,137147.23000000004,1316.41
279,280.0,213.54,1102.87,97618.83999999991,137360.77000000005,1316.41
280,281.0,211.13,1105.28,96515.96999999991,137571.90000000005,1316.41
281,282.0,208.71,1107.7,95410.68999999992,137780.61000000004,1316.41
282,283.0,206.29,1110.12,94302.98999999992,137986.90000000005,1316.41
283,284.0,203.86,1112.55,93192.86999999992,138190.76000000004,1316.41
284,285.0,201.43,1114.98,92080.31999999992,138392.19000000003,1316.41
285,286.0,198.99,1117.42,90965.33999999992,138591.18000000002,1316.41
286,287.0,196.54,1119.87,89847.91999999993,138787.72000000003,1316.41
287,288.0,194.09,1122.32,88728.04999999993,138981.81000000003,1316.41
288,289.0,191.64,1124.77,87605.72999999992,139173.45000000004,1316.41
289,290.0,189.18,1127.23,86480.95999999992,139362.63000000003,1316.41
290,291.0,186.71,1129.7,85353.72999999992,139549.34000000003,1316.41
291,292.0,184.24,1132.17,84224.02999999993,139733.58000000002,1316.41
292,293.0,181.76,1134.65,83091.85999999993,139915.34000000003,1316.41
293,294.0,179.28,1137.13,81957.20999999993,140094.62000000002,1316.41
294,295.0,176.79,1139.62,80820.07999999993,140271.41000000003,1316.41
295,296.0,174.3,1142.11,79680.45999999993,140445.71000000002,1316.41
296,297.0,171.8,1144.61,78538.34999999993,140617.51,1316.41
297,298.0,169.3,1147.11,77393.73999999993,140786.81,1316.41
298,299.0,166.79,1149.62,76246.62999999993,140953.6,1316.41
299,300.0,164.27,1152.14,75097.00999999994,141117.87,1316.41
300,301.0,161.75,1154.66,73944.86999999994,141279.62,1316.41
301,302.0,159.23,1157.18,72790.20999999993,141438.85,1316.41
302,303.0,156.7,1159.71,71633.02999999994,141595.55000000002,1316.41
303,304.0,154.16,1162.25,70473.31999999993,141749.71000000002,1316.41
304,305.0,151.62,1164.79,69311.06999999993,141901.33000000002,1316.41
305,306.0,149.07,1167.34,68146.27999999994,142050.40000000002,1316.41
306,307.0,146.52,1169.89,66978.93999999994,142196.92,1316.41
307,308.0,143.96,1172.45,65809.04999999994,142340.88,1316.41
308,309.0,141.39,1175.02,64636.59999999995,142482.27000000002,1316.41
309,310.0,138.82,1177.59,63461.57999999995,142621.09000000003,1316.41
310,311.0,136.25,1180.16,62283.989999999954,142757.34000000003,1316.41
